datetime,price
20120301,71.12
20120302,71.6
20120305,71.32
20120306,70
20120307,68.38
20120308,68.77
20120309,69.17
20120312,69.49
20120313,69.35
20120314,68.4
20120315,67.07
20120316,67.37
20120319,67.52
20120320,67.74
20120321,66.94
20120322,66.78
20120323,65.77
20120326,66.95
20120327,68.25
20120328,67.69
20120329,67.02
20120330,67.45
20120405,65.75
20120406,66.02
20120409,66.17
20120410,66.06
20120411,65.96
20120412,66.1
20120413,67.32
20120416,65.49
20120417,65.59
20120418,66.06
20120419,65.88
20120420,66.09
20120423,65.76
20120424,64.75
20120425,64.92
20120426,65.02
20120427,65.06
20120502,64.91
20120503,64.42
20120504,63.99
20120507,63.99
20120508,63.8
20120509,62.31
20120510,62.11
20120511,61.07
20120514,60.69
20120515,59.97
20120516,57.9
20120517,58.57
20120518,59.58
20120521,60.95
20120522,60.45
20120523,59.4
20120524,59.09
20120525,59.53
20120528,60.24
20120529,60.27
20120530,58.91
20120531,59.17
20120601,59.06
20120604,59.89
20120605,59.84
20120606,60.72
20120607,61.76
20120608,59.94
20120611,60.78
20120612,60.51
20120613,60.83
20120614,60.93
20120615,60.65
20120618,60.57
20120619,60.77
20120620,60.31
20120621,59.58
20120625,57.47
20120626,58.16
20120627,57.65
20120628,57.52
20120629,57.21
20120702,57.85
20120703,58.69
20120704,59.17
20120705,59.4
20120706,58.68
20120709,57.92
20120710,57.83
20120711,57.57
20120712,57.34
20120713,57.77
20120716,57.85
20120717,57.97
20120718,57.75
20120719,57.88
20120720,57.83
20120723,57.54
20120724,57.43
20120725,57.44
20120726,57.93
20120727,58.49
20120730,58.48
20120731,59.23
20120801,59
20120802,58.2
20120803,57.84
20120806,58.75
20120807,58.94
20120808,58.99
20120809,59.29
20120810,58.99
20120813,59.2
20120814,59.02
20120815,58.76
20120816,58.8
20120817,59.38
20120820,59.32
20120821,60.18
20120822,61.12
20120823,63.39
20120824,63.14
20120827,64.61
20120828,63.82
20120829,64.27
20120830,64.03
20120831,63.51
20120903,66.02
20120904,66.62
20120905,66.7
20120906,67.9
20120907,67.05
20120910,70.01
20120911,69.78
20120912,69.83
20120913,68.94
20120914,71.78
20120917,71.76
20120918,71.37
20120919,71.91
20120920,71.36
20120921,71.91
20120924,70.37
20120925,70.37
20120926,70.38
20120927,70.46
20120928,71.74
20121008,70.35
20121009,70.45
20121010,70.29
20121011,70.49
20121012,70.45
20121015,68.92
20121016,68.37
20121017,68.45
20121018,68.47
20121019,67.9
20121022,67.06
20121023,66.96
20121024,66.72
20121025,66.91
20121026,66.49
20121029,66.97
20121030,66.84
20121031,66.96
20121101,67.68
20121102,67.18
20121105,65.17
20121106,65.21
20121107,67.45
20121108,66.67
20121109,67.4
20121112,67.83
20121113,67.46
20121114,67.76
20121115,67.76
20121116,67.59
20121119,67.8
20121120,68.5
20121121,68.39
20121122,68.82
20121123,68.93
20121126,70.14
20121127,70.24
20121128,69.94
20121129,69.32
20121130,70.08
20121203,69.36
20121204,68.81
20121205,68.44
20121206,67.75
20121207,68.2
20121210,68.61
20121211,68.57
20121212,68.53
20121213,68.26
20121214,67.49
20121217,66.98
20121218,67.11
20121219,65.92
20121220,64.9
20121221,62.2
20121224,62.45
20121225,62.29
20121226,61.94
20121227,62.1
20121228,62.48
