datetime,price
20120301,70
20120302,71
20120305,71.2
20120306,71.75
20120307,68.2
20120308,68.4
20120309,68.8
20120312,70
20120313,69.35
20120314,69.48
20120315,68
20120316,66.73
20120319,67.4
20120320,67.5
20120321,66
20120322,66.8
20120323,66.3
20120326,66.6
20120327,67.38
20120328,67.51
20120329,67.79
20120330,67.02
20120405,65.8
20120406,66.38
20120409,66.21
20120410,66.05
20120411,66.02
20120412,65.51
20120413,66.28
20120416,65.7
20120417,65.3
20120418,65.9
20120419,65.76
20120420,65.6
20120423,66.3
20120424,65.38
20120425,64.6
20120426,64.89
20120427,64.85
20120502,65.08
20120503,64.75
20120504,64.21
20120507,63.8
20120508,63.85
20120509,63.65
20120510,62
20120511,61.73
20120514,61
20120515,60.6
20120516,59.78
20120517,59
20120518,58.35
20120521,60.2
20120522,60.54
20120523,60.25
20120524,59.28
20120525,59.25
20120528,59.5
20120529,60
20120530,59.92
20120531,58.93
20120601,59.07
20120604,59.85
20120605,59.9
20120606,59.86
20120607,60.81
20120608,62
20120611,60.6
20120612,60.75
20120613,60.31
20120614,60.62
20120615,60.98
20120618,60.75
20120619,60.58
20120620,60.8
20120621,60.16
20120625,57.4
20120626,57.54
20120627,57.9
20120628,57.35
20120629,57.3
20120702,57.85
20120703,57.8
20120704,58.84
20120705,59.14
20120706,59.28
20120709,57.55
20120710,57.91
20120711,58.2
20120712,57.68
20120713,57
20120716,57.95
20120717,57.51
20120718,57.8
20120719,57.6
20120720,58.08
20120723,57.9
20120724,57.5
20120725,57.65
20120726,57.64
20120727,58.71
20120730,58.58
20120731,58.41
20120801,59.33
20120802,58.91
20120803,58.35
20120806,58.52
20120807,58.76
20120808,58.95
20120809,58.88
20120810,58.88
20120813,59.21
20120814,59.19
20120815,58.76
20120816,58.44
20120817,58.83
20120820,59.23
20120821,59.3
20120822,60.3
20120823,61.55
20120824,63.19
20120827,64.3
20120828,62.3
20120829,64.21
20120830,63.99
20120831,64.15
20120903,66
20120904,66.08
20120905,66.86
20120906,66.65
20120907,68.24
20120910,69.85
20120911,69.72
20120912,69.73
20120913,70.3
20120914,69.04
20120917,72.01
20120918,71.67
20120919,71.43
20120920,71.7
20120921,71.4
20120924,71.44
20120925,70.04
20120926,70.39
20120927,70.34
20120928,70.34
20121008,71.39
20121009,70.36
20121010,70.38
20121011,70.29
20121012,70.58
20121015,68.65
20121016,68.84
20121017,68.27
20121018,68.54
20121019,68.15
20121022,66.7
20121023,67.2
20121024,66.43
20121025,66.54
20121026,67.03
20121029,66.89
20121030,66.77
20121031,67.25
20121101,67.48
20121102,67.87
20121105,65.05
20121106,64.81
20121107,65.26
20121108,67.17
20121109,66.36
20121112,67.93
20121113,67.86
20121114,67.53
20121115,67.52
20121116,67.78
20121119,67.51
20121120,67.77
20121121,68.51
20121122,68.48
20121123,68.82
20121126,70.27
20121127,70.01
20121128,70.04
20121129,69.93
20121130,69.58
20121203,69.4
20121204,69.3
20121205,68.7
20121206,68.36
20121207,67.88
20121210,68.35
20121211,68.77
20121212,68.61
20121213,68.6
20121214,67.91
20121217,66.98
20121218,66.97
20121219,67.07
20121220,65.88
20121221,64.92
20121224,62.4
20121225,62.72
20121226,62.19
20121227,61.98
20121228,62.05
20121231,62.52
20130102,62.83
20130103,63.42
20130104,63.85
20130107,62.26
20130108,62.1
20130109,62.38
20130110,62.48
20130111,62.53
20130114,62.75
20130115,63.08
20130116,63.76
20130117,64.15
20130118,64.32
20130121,65.36
20130122,65.3
20130123,65.41
20130124,65.72
20130125,65.21
20130128,63.88
20130129,63.15
20130130,63.65
20130131,64.21
20130201,65.05
20130204,64.82
20130205,64.4
20130206,65.08
20130207,64.63
20130208,65.05
20130216,61.05
20130217,61.78
20130218,61.8
20130219,61.99
20130220,62.17
20130221,60.7
20130222,59.43
20130225,59.68
20130226,60.87
20130227,60.12
20130228,60.34
20130301,60.02
20130304,59.79
20130305,60.15
20130306,60.22
20130307,59.9
20130308,60.11
20130311,60.14
20130312,59.9
20130313,60.35
20130314,60.59
20130315,59.9
20130318,60.24
20130319,60.12
20130320,60.12
20130321,59.97
20130322,60.33
20130325,59.98
20130326,59.9
20130327,59.8
20130328,59.55
20130329,58.9
20130401,58.88
20130402,58.25
20130403,56.7
20130404,56.01
20130405,56.1
20130408,56.48
20130409,56.4
20130410,57.75
20130411,57.11
20130412,57.25
20130415,53.49
20130416,47.1
20130417,49.02
20130418,48.1
20130419,48.42
20130422,48.55
20130423,48.53
20130424,47.82
20130425,48.16
20130426,50.51
20130429,50.31
20130430,50.86
20130501,50.25
20130502,48.7
20130503,49.24
20130506,50.22
20130507,49.5
20130508,49.34
20130509,49.08
20130510,48.42
20130513,48.6
20130514,48.5
20130515,47.7
20130516,46.72
20130517,46.85
20130520,44.38
20130521,46.68
20130522,46.58
20130523,46.02
20130524,46.45
20130527,46.1
20130528,46.4
20130529,46.21
20130530,46.2
20130531,46.89
20130603,46.11
20130604,46.68
20130605,46.3
20130606,46.4
20130607,46.7
20130610,44.97
20130611,45.15
20130612,44.82
20130613,44.76
20130614,45.01
20130617,45.26
20130618,45.18
20130619,44.73
20130620,43.85
20130621,40.74
20130624,41.51
20130625,40.68
20130626,40.49
20130627,38.48
20130628,38.01
20130701,40.45
20130702,40.78
20130703,40.24
20130704,40.82
20130705,40.37
20130708,39.2
20130709,39.35
20130710,39.77
20130711,40.81
20130712,41.75
20130715,41.3
20130716,41.41
20130717,41.55
20130718,40.4
20130719,40.45
20130722,41.06
20130723,42.4
20130724,42.35
20130725,41.78
20130726,42
20130729,41.26
20130730,41.16
20130731,41.02
20130801,41.07
20130802,40.64
20130805,41.21
20130806,40.88
20130807,40.31
20130808,40.68
20130809,41.76
20130812,42.6
20130813,43.9
20130814,43.9
20130815,44.75
20130816,46.4
20130819,46.78
20130820,46.35
20130821,45.59
20130822,45.06
20130823,45.51
20130826,47.38
20130827,47.54
20130828,48.23
20130829,47.56
20130830,47.1
20130902,46.12
20130903,47.4
20130904,47.68
20130905,46.21
20130906,45.68
20130909,46.78
20130910,46.46
20130911,45.22
20130912,45.32
20130913,43.17
20130916,43.27
20130917,42.73
20130918,42.49
20130919,44.75
20130920,44.84
20130923,42.74
20130924,42.82
20130925,42.69
20130926,42.84
20130927,42.6
20130930,42.71
20131001,42.52
20131002,41.37
20131003,42.65
20131004,42.52
20131007,42.7
20131008,43.55
20131009,43.72
20131010,42.86
20131011,42.65
20131014,41.74
20131015,41.69
20131016,42.1
20131017,42.05
20131018,42.96
20131021,43.02
20131022,43.52
20131023,44.51
20131024,44.19
20131025,44.42
20131028,44.15
20131029,44.05
20131030,43.94
20131031,43.89
20131101,43.17
20131104,43.03
20131105,42.69
20131106,42.64
20131107,42.9
20131108,42.73
20131111,42.16
20131112,42.03
20131113,41.01
20131114,41.04
20131115,41.22
20131118,41.32
20131119,40.97
20131120,41.04
20131121,40.73
20131122,40.72
20131125,40.39
20131126,41.12
20131127,40.5
20131128,40.38
20131129,40.58
20131202,40.71
20131203,40.12
20131204,39.98
20131205,40.4
20131206,40.16
20131209,40.04
20131210,40.32
20131211,41.18
20131212,41.19
20131213,39.86
20131216,40.05
20131217,40.8
20131218,39.99
20131219,40.35
20131220,39.42
20131223,39.67
20131224,39.6
20131225,39.7
20131226,39.7
20131227,40.13
20131230,40.57
20131231,39.97
20140101,39.68
20140102,39.74
20140103,40.3
20140106,40.23
20140107,40.28
20140108,39.98
20140109,39.68
20140110,39.71
20140113,40.2
20140114,40.31
20140115,40.13
20140116,40.01
20140117,39.9
20140120,40.18
20140121,40.18
20140122,39.94
20140123,39.8
20140124,40.02
20140127,40.05
20140128,39.9
20140129,39.9
20140130,39.83
20140207,40.65
20140210,40.08
20140211,40.1
20140212,40.11
20140213,40.13
20140214,40.22
20140217,41.5
20140218,42.5
20140219,42.55
20140220,42.2
20140221,42.35
20140224,42.28
20140225,42.9
20140226,42.75
20140227,41.94
20140228,41.71
20140303,41.71
20140304,42.08
20140305,41.71
20140306,41.7
20140307,42.15
20140310,41.02
20140311,40.99
20140312,41.01
20140313,41.65
20140314,41.7
20140317,42.18
20140318,41.6
20140319,41.05
20140320,40.86
20140321,40.45
20140324,40.4
20140325,40.05
20140326,40.13
20140327,39.98
20140328,39.95
20140331,40.05
20140401,39.94
20140402,40.07
20140403,40.2
20140404,40.05
20140407,40.08
20140408,40.15
20140409,40.24
20140410,40.21
20140411,40.19
20140414,40.28
20140415,40.38
20140416,39.86
20140417,40.08
20140418,40.05
20140421,40.08
20140422,39.96
20140423,39.92
20140424,40.05
20140425,40.25
20140428,40.29
20140429,40.29
20140430,40.24
20140501,39.97
20140502,39.95
20140505,40.34
20140506,40.26
20140507,40.29
20140508,40.11
20140509,39.97
20140512,40
20140513,40.35
20140514,40.33
20140515,40.49
20140516,40.3
20140519,40.26
20140520,40.32
20140521,40.48
20140522,40.51
20140523,40.71
20140526,40.75
20140527,40.82
20140528,40.54
20140529,40.43
20140530,40.53
20140602,40.2
20140603,40.23
20140604,40.28
20140605,40.3
20140606,40.47
20140609,40.38
20140610,40.42
20140611,40.54
20140612,40.57
20140613,40.78
20140616,41.07
20140617,41.04
20140618,41.05
20140619,41.16
20140620,42.7
20140623,42.77
20140624,42.86
20140625,42.89
20140626,42.86
20140627,42.82
20140630,42.7
20140701,42.81
20140702,42.76
20140703,42.83
20140704,42.71
20140707,42.74
20140708,42.58
20140709,42.45
20140710,42.55
20140711,43.3
20140714,43.3
20140715,42.84
20140716,42.78
20140717,42.86
20140718,43.62
20140721,42.98
20140722,43.16
20140723,43.1
20140724,43.09
20140725,42.4
20140728,42.86
20140729,42.7
20140730,42.62
20140731,42.68
20140801,42.55
20140804,42.5
20140805,42.35
20140806,41.97
20140807,42.37
20140808,42.34
20140811,42.28
20140812,42.4
20140813,42.31
20140814,42.3
20140815,42.31
20140818,42.04
20140819,42.02
20140820,41.7
20140821,41.67
20140822,41.52
20140825,41.51
20140826,41.46
20140827,41.51
20140828,41.6
20140829,41.88
20140901,41.9
20140902,41.86
20140903,41.7
20140904,41.7
20140905,41.58
20140908,41.85
20140909,41.6
20140910,41.65
20140911,41.67
20140912,41.5
20140915,41.38
20140916,41.36
20140917,41.53
20140918,41.32
20140919,41.34
20140922,40
20140923,39.1
20140924,38.71
20140925,38.6
20140926,38.4
20140929,38.7
20140930,38.54
20141001,37.7
20141002,38.2
20141003,37.8
20141006,37.1
20141007,38.27
20141008,38.1
20141009,38.3
20141010,38.38
20141013,38.4
20141014,38.61
20141015,38.25
20141016,38.51
20141017,38.41
20141020,38.28
20141021,38.5
20141022,38.65
20141023,38.2
20141024,38.25
20141027,38.25
20141028,38.2
20141029,38.3
20141030,38.18
20141031,37.2
20141103,35.08
20141104,35.2
20141105,35.12
20141106,33.58
20141107,33.61
20141110,34.3
20141111,34.22
20141112,34.19
20141113,34.1
20141114,34.14
20141117,35.36
20141118,35.32
20141119,35.48
20141120,35.26
20141121,35.53
20141124,35.9
20141125,35.9
20141126,36.05
20141127,35.89
20141128,35.14
20141201,32.6
20141202,35.5
20141203,35.4
20141204,35.49
20141205,35.68
20141208,35.45
20141209,35.7
20141210,36.84
20141211,36.9
20141212,36.88
20141215,36.8
20141216,35.31
20141217,34.78
20141218,35.07
20141219,35.38
20141222,35.5
20141223,34.68
20141224,34.86
20141225,34.8
20141226,34.81
20141229,35.1
20141230,34.71
20141231,35.65
20150102,34.95
20150105,35.25
20150106,35.55
20150107,36
20150108,35.95
20150109,35.66
20150112,35.91
20150113,36.07
20150114,36.65
20150115,36.18
20150116,36.55
20150119,37.42
20150120,37.38
20150121,37.89
20150122,38.5
20150123,38.63
20150126,38.5
20150127,37.75
20150128,38
20150129,37.97
20150130,36.1
20150202,36.69
20150203,36.51
20150204,36.6
20150205,36.8
20150206,36.65
20150209,36.18
20150210,36.51
20150211,36.39
20150212,36.37
20150213,36.64
20150216,36.98
20150217,37.03
20150225,35.9
20150226,36.2
20150227,36.38
20150302,36.45
20150303,36.4
20150304,36.05
20150305,35.97
20150306,35.91
20150309,35.33
20150310,34.98
20150311,34.9
20150312,34.62
20150313,34.82
20150316,34.82
20150317,34.97
20150318,34.82
20150319,35.36
20150320,35.51
20150323,36.28
20150324,36.7
20150325,36.57
20150326,36.6
20150327,36.7
20150330,36.6
20150331,36.08
20150401,35.9
20150402,36.09
20150403,35.8
20150406,36.5
20150407,36.3
20150408,36.22
20150409,35.76
20150410,35.1
20150413,35.8
20150414,35.57
20150415,35.32
20150416,35.58
20150417,35.55
20150420,35.5
20150421,35.25
20150422,35.28
20150423,35.04
20150424,35.29
20150427,34.94
20150428,35.79
20150429,36.29
20150430,36.04
20150501,35.6
20150504,34.92
20150505,35.82
20150506,35.82
20150507,35.81
20150508,35.62
20150511,35.8
20150512,35.58
20150513,35.68
20150514,36.55
20150515,36.83
20150518,37.05
20150519,37.46
20150520,36.45
20150521,36.49
20150522,36.51
20150525,36.31
20150526,36.4
20150527,36.09
20150528,36.05
20150529,36.14
20150601,36.12
20150602,36.25
20150603,36.15
20150604,36.02
20150605,35.5
20150608,35.46
20150609,35.3
20150610,35.42
20150611,35.53
20150612,35.5
20150615,35.4
20150616,35.36
20150617,35.31
20150618,35.36
20150619,35.7
20150622,35.52
20150623,35.59
20150624,34.95
20150625,35.07
20150626,35.06
20150629,34.94
20150630,34.8
20150701,34.59
20150702,34.5
20150703,34.58
20150706,34.68
20150707,34.64
20150708,33.3
20150709,33.17
20150710,34
20150713,34.48
20150714,34.08
20150715,34.07
20150716,33.59
20150717,33.41
20150720,33.09
20150721,32.9
20150722,33.04
20150723,32.97
20150724,32.87
20150727,32.8
20150728,32.61
20150729,32.74
20150730,32.98
20150731,32.91
20150803,32.96
20150804,32.71
20150805,32.65
20150806,32.66
20150807,32.78
20150810,32.93
20150811,33.62
20150812,33.92
20150813,35.16
20150814,34.6
20150817,34.39
20150818,34.36
20150819,33.79
20150820,34.3
20150821,34.66
20150824,34.42
20150825,33.87
20150826,33.75
20150827,32.86
20150828,33.62
20150831,33.5
20150901,33.64
20150902,33.65
20150903,33.76
